Index,Angle,Radians,,AxisSize,,Cx,Cy,Cz
1,0,0,,127.790954,,127.790954,0,0
2,5,0.087266463,,131.452275,,130.9520594,11.45682066,0
3,10,0.174532925,,134.4578173,,132.4151009,23.34835495,0
4,15,0.261799388,,136.7620438,,132.1019902,35.39662159,0
5,20,0.34906585,,138.3313694,,129.988967,47.31211478,0
6,25,0.436332313,,139.1435254,,126.1068606,58.80459482,0
7,30,0.523598776,,139.1871693,,120.5396245,69.59358466,0
8,35,0.610865238,,138.4616951,,113.4211806,79.41836566,0
9,40,0.698131701,,136.9772231,,104.9306406,88.04726183,0
10,45,0.785398163,,134.7547686,,95.28601067,95.28601067,0
11,50,0.872664626,,131.8266081,,84.7365103,100.9850406,0
12,55,0.959931089,,128.2368839,,73.55365488,105.0455056,0
13,60,1.047197551,,124.0425116,,62.0212558,107.4239662,0
14,65,1.134464014,,119.3144791,,50.42447777,108.1356415,0
15,70,1.221730476,,114.1396492,,39.03805918,107.2561861,0
16,75,1.308996939,,108.6231813,,28.11374807,104.9219362,0
17,80,1.396263402,,102.8916486,,17.86694728,101.3284933,0
18,85,1.483529864,,97.09676745,,8.462540886,96.72728494,0
19,90,1.570796327,,91.41925992,,5.60011E-15,91.41925992,0
20,95,1.658062789,,86.07153081,,-7.501628197,85.74400265,0
21,100,1.745329252,,81.2963983,,-14.11697142,80.06132334,0
22,105,1.832595715,,77.3573033,,-20.02154337,74.72141711,0
23,110,1.919862177,,74.514705,,-25.48553008,70.02091843,0
24,115,2.00712864,,72.9869054,,-30.84559909,66.14860072,0
25,120,2.094395102,,72.90364124,,-36.45182062,63.13640534,0
26,125,2.181661565,,74.27225587,,-42.60081584,60.84027023,0
27,130,2.268928028,,76.97564134,,-49.4789885,58.9667623,0
28,135,2.35619449,,80.80322613,,-57.13650914,57.13650914,0
29,140,2.443460953,,85.49710179,,-65.49457973,54.95647769,0
30,145,2.530727415,,90.79267931,,-74.37300886,52.07654145,0
31,150,2.617993878,,96.44409949,,-83.52304021,48.22204975,0
32,155,2.705260341,,102.2353368,,-92.65668181,43.20652031,0
33,160,2.792526803,,107.9821721,,-101.4700503,36.93207797,0
34,165,2.879793266,,113.5297912,,-109.6613574,29.38367214,0
35,170,2.967059728,,118.7489691,,-116.9449054,20.62054208,0
36,175,3.054326191,,123.5322904,,-123.0622127,10.76654852,0
37,180,3.141592654,,127.790954,,-127.790954,1.56563E-14,0
38,185,3.228859116,,131.452275,,-130.9520594,-11.45682066,0
39,190,3.316125579,,134.4578173,,-132.4151009,-23.34835495,0
40,195,3.403392041,,136.7620438,,-132.1019902,-35.39662159,0
41,200,3.490658504,,138.3313694,,-129.988967,-47.31211478,0
42,205,3.577924967,,139.1435254,,-126.1068606,-58.80459482,0
43,210,3.665191429,,139.1871693,,-120.5396245,-69.59358466,0
44,215,3.752457892,,138.4616951,,-113.4211806,-79.41836566,0
45,220,3.839724354,,136.9772231,,-104.9306406,-88.04726183,0
46,225,3.926990817,,134.7547686,,-95.28601067,-95.28601067,0
47,230,4.01425728,,131.8266081,,-84.7365103,-100.9850406,0
48,235,4.101523742,,128.2368839,,-73.55365488,-105.0455056,0
49,240,4.188790205,,124.0425116,,-62.0212558,-107.4239662,0
50,245,4.276056667,,119.3144791,,-50.42447777,-108.1356415,0
51,250,4.36332313,,114.1396492,,-39.03805918,-107.2561861,0
52,255,4.450589593,,108.6231813,,-28.11374807,-104.9219362,0
53,260,4.537856055,,102.8916486,,-17.86694728,-101.3284933,0
54,265,4.625122518,,97.09676745,,-8.462540886,-96.72728494,0
55,270,4.71238898,,91.41925992,,-1.68003E-14,-91.41925992,0
56,275,4.799655443,,86.07153081,,7.501628197,-85.74400265,0
57,280,4.886921906,,81.2963983,,14.11697142,-80.06132334,0
58,285,4.974188368,,77.3573033,,20.02154337,-74.72141711,0
59,290,5.061454831,,74.514705,,25.48553008,-70.02091843,0
60,295,5.148721293,,72.9869054,,30.84559909,-66.14860072,0
61,300,5.235987756,,72.90364124,,36.45182062,-63.13640534,0
62,305,5.323254219,,74.27225587,,42.60081584,-60.84027023,0
63,310,5.410520681,,76.97564134,,49.4789885,-58.9667623,0
64,315,5.497787144,,80.80322613,,57.13650914,-57.13650914,0
65,320,5.585053606,,85.49710179,,65.49457973,-54.95647769,0
66,325,5.672320069,,90.79267931,,74.37300886,-52.07654145,0
67,330,5.759586532,,96.44409949,,83.52304021,-48.22204975,0
68,335,5.846852994,,102.2353368,,92.65668181,-43.20652031,0
69,340,5.934119457,,107.9821721,,101.4700503,-36.93207797,0
70,345,6.021385919,,113.5297912,,109.6613574,-29.38367214,0
71,350,6.108652382,,118.7489691,,116.9449054,-20.62054208,0
72,355,6.195918845,,123.5322904,,123.0622127,-10.76654852,0
73,360,6.283185307,,127.790954,,127.790954,-3.13126E-14,0
