Index,Cx_Final,Cy_Final,TVD_Final,Dist
0,476.0644845,-7490.871466,12336.0516,702.850247
1,412.7899403,-7491.751723,12352.43482,722.9875123
2,347.2733301,-7492.665111,12359.4419,739.5179952
3,281.0500298,-7493.590274,12356.66768,752.1912412
4,215.7140409,-7494.504975,12344.00679,760.8225315
5,152.8586317,-7495.386931,12321.65411,765.2893895
6,94.01874794,-7496.214617,12290.09584,765.5294313
7,40.61632359,-7496.968031,12250.09121,761.5393232
8,-6.090353522,-7497.629408,12202.64546,753.3747271
9,-45.05212127,-7498.183863,12148.97444,741.1512272
10,-75.46828878,-7498.619947,12090.46173,725.0463444
11,-96.81904159,-7498.930109,12028.60914,705.3028615
12,-108.8903061,-7499.111055,11964.9812,682.2338138
13,-111.790678,-7499.163996,11901.1448,656.2296352
14,-105.960162,-7499.094782,11838.60421,627.7680707
15,-92.17043013,-7498.91392,11778.73196,597.4274974
16,-71.51586495,-7498.636462,11722.69553,565.9040673
17,-45.39341172,-7498.281741,11671.37969,534.032221
18,-15.46660694,-7497.87288,11625.30521,502.8059296
19,16.39558884,-7497.435961,11584.54715,473.3934195
20,48.22118061,-7496.998602,11548.66369,447.1301906
21,78.09985672,-7496.58767,11516.65904,425.4651682
22,104.424093,-7496.225904,11487.02146,409.8308775
23,126.1852752,-7495.927752,11457.88301,401.4279797
24,143.2383435,-7495.695613,11427.31578,400.9700268
25,156.4013717,-7495.518382,11393.70112,408.4974073
26,167.3041631,-7495.373498,11356.03958,423.3660274
27,178.0371817,-7495.23182,11314.08838,444.4177437
28,190.7547431,-7495.06318,11268.3152,470.2340598
29,207.366373,-7494.840715,11219.74154,499.3597362
30,229.3605837,-7494.543372,11169.75938,530.4425472
31,257.7376425,-7494.156874,11119.96875,562.2943522
32,293.0091985,-7493.673749,11072.04937,593.9019465
33,335.2316506,-7493.092885,11027.66216,624.4138515
34,384.0543004,-7492.418874,10988.37309,653.11933
35,438.7734879,-7491.661266,10955.59282,679.427597
36,498.3893155,-7490.833786,10930.5284,702.850247
37,561.6638597,-7489.953529,10914.14518,722.9875123
38,627.1804699,-7489.040141,10907.1381,739.5179952
39,693.4037702,-7488.114978,10909.91232,752.1912412
40,758.7397591,-7487.200277,10922.57321,760.8225315
41,821.5951683,-7486.31832,10944.92589,765.2893895
42,880.4350521,-7485.490635,10976.48416,765.5294313
43,933.8374764,-7484.737221,11016.48879,761.5393232
44,980.5441535,-7484.075844,11063.93454,753.3747271
45,1019.505921,-7483.521389,11117.60556,741.1512272
46,1049.922089,-7483.085305,11176.11827,725.0463444
47,1071.272842,-7482.775143,11237.97086,705.3028615
48,1083.344106,-7482.594197,11301.5988,682.2338138
49,1086.244478,-7482.541256,11365.4352,656.2296352
50,1080.413962,-7482.610469,11427.97579,627.7680707
51,1066.62423,-7482.791331,11487.84804,597.4274974
52,1045.969665,-7483.068789,11543.88447,565.9040673
53,1019.847212,-7483.423511,11595.20031,534.032221
54,989.9204069,-7483.832372,11641.27479,502.8059296
55,958.0582112,-7484.269291,11682.03285,473.3934195
56,926.2326194,-7484.70665,11717.91631,447.1301906
57,896.3539433,-7485.117582,11749.92096,425.4651682
58,870.029707,-7485.479347,11779.55854,409.8308775
59,848.2685248,-7485.7775,11808.69699,401.4279797
60,831.2154565,-7486.009639,11839.26422,400.9700268
61,818.0524283,-7486.18687,11872.87888,408.4974073
62,807.1496369,-7486.331754,11910.54042,423.3660274
63,796.4166183,-7486.473431,11952.49162,444.4177437
64,783.6990569,-7486.642072,11998.2648,470.2340598
65,767.087427,-7486.864537,12046.83846,499.3597362
66,745.0932163,-7487.161879,12096.82062,530.4425472
67,716.7161575,-7487.548378,12146.61125,562.2943522
68,681.4446015,-7488.031503,12194.53063,593.9019465
69,639.2221494,-7488.612367,12238.91784,624.4138515
70,590.3994996,-7489.286377,12278.20691,653.11933
71,535.6803121,-7490.043986,12310.98718,679.427597
72,476.0644845,-7490.871466,12336.0516,702.850247
